latitude,longitude,altitude,geometry,name,name:en,railway,ele,operator:type,layer,addr:full,addr:city,source,name:ar,osm_id,osm_type
30.5822027,31.5020111,,Point,الزقازيق,Al-Zaqaziq,station,,,,,,,الزقازيق,1022196175,nodes
30.633333,31.25,,Point,سعد باشا زغلول,Sad Pasha Zaghlul,station,,,,,,,سعد باشا زغلول,768565564,nodes
25.3833101,32.5666924,,Point,محطة المطاعنة,Al Matana Station,station,,,,,,,محطة المطاعنة,768738154,nodes
30.3338909,30.9577717,,Point,سمادون,Samadon,station,,,,,,,سمادون,1039310348,nodes
30.4787176,30.9728916,,Point,,,station,,,,,,,,10576295383,nodes
30.2988041,30.9794024,,Point,أشمون,Ashmoun,station,,,,,,,أشمون,1039313722,nodes
30.0168801,31.2309632,,Point,الملك الصالح,Al-Malek Al-Saleh,station,,,,,,,الملك الصالح,5349031092,nodes
30.1180729,31.3398266,,Point,محطة مترو ألف مسكن,Alf Maskan subway station,station,,,,,,,مترو ألف مسكن,7153613350,nodes
30.1213801,31.3139749,,Point,المطرية,El-Matareyya,station,,,,,,,المطرية,5349031070,nodes
28.9,30.95,,Point,سدس,Sads,station,,,,,,,سدس,768587159,nodes
28.8232028,30.9037843,,Point,الفشن,Fashn,station,,,,,,,الفشن,520515100,nodes
28.7480324,30.868204,,Point,الفنت,,station,,,,,,,الفنت,2718667236,nodes
30.1224837,31.2446088,,Point,شبرا الخيمة,Shobra Al-Kheima,station,,,,,,,شبرا الخيمة,272197931,nodes
30.0977898,31.2454368,,Point,الخلفاوي,Al-Khalafawy,station,,,,,,,الخلفاوي,2181318225,nodes
30.1137638,31.2487433,,Point,كلية الزراعة,Koliet El-Zeraa,station,,,,,,,كلية الزراعة,9164359294,nodes
30.1240927,31.2434932,,Point,شبرا الخيمة,Shobra Al-Kheima,station,,,,,,,شبرا الخيمة,9164359293,nodes
30.1040913,31.2461248,,Point,المظلات,Al-Mezallat,station,,,,,,,المظلات,316635179,nodes
30.1143455,31.3139,,Point,حلمية الزيتون,Helmeyet Al-Zaitoun,station,,,,,,,حلمية الزيتون,316643091,nodes
30.0965987,31.328358,,Point,محطة هارون الرشيد,,station,2,,,,,,,8558269741,nodes
30.0913176,31.3264965,,Point,الاهرام,Al Ahram,station,,,,,,,الاهرام,5194348148,nodes
30.1051989,31.3099368,,Point,حدائق الزيتون,Hadayeq Al-Zaitoun,station,,,,,,,حدائق الزيتون,5349031073,nodes
30.1079599,31.3381815,,Point,ميدان هليوبوليس,Heliopolis,station,,,,,,,ميدان هليوبوليس,7153613353,nodes
30.3481353,31.3887005,,Point,,,station,,,,,,,,10581752575,nodes
30.1520818,31.3357665,,Point,المرج,Al Marj,station,,,,,,,المرج,5349031066,nodes
30.1860597,31.3540284,,Point,,,station,,,,,,,,10581244167,nodes
30.2205771,31.3608615,,Point,,,station,,,,,,,,10581383567,nodes
30.2130321,31.3657336,,Point,الخانكة,Al Khanka,station,,,,,,,الخانكة,768551883,nodes
30.2807208,31.2934196,,Point,,,station,,,,,,,,10578741227,nodes
30.3129898,31.3154378,,Point,محطة شبين القناطر,Shebin Al-Qanater Station,station,,,,,,,محطة شبين القناطر,1041037218,nodes
30.3051018,31.330877,,Point,,,station,,,,,,,,10581677984,nodes
30.5048496,31.5392045,,Point,,,station,,,,,,,,10581934255,nodes
30.0771206,31.2177818,,Point,إمبابه,Imbaba,station,,,,,,,إمبابه,2265685728,nodes
30.5691181,30.9962229,,Point,شبين الكوم الجديدة,Shibin Al-Kom New Station,station,,,,,,,شبين الكوم الجديدة,1094599866,nodes
30.0105702,31.2071246,,Point,جيزة,Giza,station,,,,,,,جيزة,9162042097,nodes
30.0052084,31.2079638,,Point,أم المصريين,Omm El Misryeen,station,,,,,,,أم المصريين,316631605,nodes
30.0052451,31.2082513,,Point,الجيزة,Giza Suburbs,station,,,,,,,الجيزة,5217365043,nodes
30.0172948,31.2040345,,Point,فيصل,Faisal,station,,,,,,,فيصل,9162042096,nodes
30.6287537,30.77992,,Point,,,station,,,,,,,,10565230147,nodes
30.5461756,30.8002456,,Point,,,station,,,,,,,,10565267141,nodes
30.5851451,30.7905264,,Point,,,station,,,,,,,,10565267102,nodes
30.6655078,30.8079828,,Point,,,station,,,,,,,,10570746065,nodes
30.6161027,30.9654107,,Point,,,station,,,,,,,,10576245608,nodes
30.5890905,30.8975622,,Point,محطة الشهداء,Al Shuhada,station,,,,,,,محطة الشهداء,1039314336,nodes
30.1312396,31.3198596,,Point,عين شمس,Ain Shams,station,,,,,,,عين شمس,5349031068,nodes
30.4667832,31.5501212,,Point,,,station,,,,,,,,10581808559,nodes
30.1392826,31.3244931,,Point,محطة عزبة النخل,Ezbet en Nakhl,station,,,,,القاهرة,,محطة عزبة النخل,5349031067,nodes
30.0667936,31.2129901,,Point,الکيت کات,Kit-kat,station,,,,,,,الکيت کات,10099279487,nodes
30.0709859,31.1850927,,Point,بشتيل,Bashteel,station,,,,,,,بشتيل,2265692735,nodes
30.9690765,31.1691355,,Point,المحلة الكبرى,Al-Mahalla Al-Kubra,station,,,,,,,المحلة الكبرى,1015922905,nodes
30.072948,31.3173959,,Point,الإستاد,Stadium,station,,,,,,,الإستاد,5194348153,nodes
30.068964,31.2646738,,Point,غمرة,Ghamra,station,,,,,,,الغمرة,5349031080,nodes
30.0865968,31.2675878,,Point,محطة الفرز للسكة الحديد,Al-Farz Station,station,,,,,,,محطة الفرز للسكة الحديد,316877183,nodes
30.0772574,31.2778133,,Point,الدمرداش,Al-Demerdash,station,,,,,,,الدمرداش,5349031078,nodes
30.0654537,31.2764492,,Point,عبده باشا,Abdou Pasha,station,,,,,,,عبده باشا,5194348143,nodes
30.0869694,31.2938181,,Point,كوبري القبة,Kobri Al-Qobba,station,,,,,,,كوبري القبة,5349031076,nodes
30.0822064,31.2878414,,Point,منشية الصدر,Manshiet Al-Sadr,station,,,,,,,منشية الصدر,5349031077,nodes
30.0727858,31.2840893,,Point,العباسية,Abbassia,station,,,,,,,العباسية,5194348142,nodes
30.0551319,31.2576045,,Point,باب الشعرية,Bab el Shaaria,station,,,,,,,باب الشعرية,5194348146,nodes
30.061851,31.2460174,,Point,الشهداء,Shuhada,station,,,,,,,الشهداء,5194295702,nodes
30.0622694,31.2679657,,Point,الجيش,El Geish,station,,,,,,,الجيش,9710900077,nodes
30.2849905,31.2086823,,Point,قها,Qaha,station,,,,,,,قها,325795208,nodes
30.0554909,31.2322096,,Point,ماسبيرو,Masbero,station,,,,,,,ماسبيرو,10099279472,nodes
30.1506242,31.1423814,,Point,,,station,,,,,,,,10570274721,nodes
30.1744829,31.0690126,,Point,,,station,,,,,,,,1814704159,nodes
30.1952538,31.1389536,,Point,,,station,,,,,,,,10578508544,nodes
30.2338684,31.2662771,,Point,,,station,,,,,,,,10578620879,nodes
30.2098388,31.2435468,,Point,,,station,,,,,,,,10578620851,nodes
30.1788215,31.1026567,,Point,,,station,,,,,,,,1749540644,nodes
30.062404,31.2225161,,Point,صفاء حجازي,Safaa Hegazy,station,,,,,,,صفاء حجازي,10099279485,nodes
30.0292488,31.2353861,,Point,السيدة زينب,Sayyeda Zeinab,station,,,,,,,السيدة زينب,5349031090,nodes
30.036568,31.2380818,,Point,سعد زغلول,Saad Zaghloul,station,,,,,,,سعد زغلول,5349031086,nodes
30.0439485,31.2353785,,Point,السادات,Sadat,station,,,,,,,السادات,316633428,nodes
30.0535567,31.2388016,,Point,ناصر,Nasser,station,,,,,,,ناصر,5349031081,nodes
30.0419584,31.2250592,,Point,الأوبرا,Opera,station,,,,,القاهرة,,الأوبرا,316632961,nodes
30.1814919,31.2044616,,Point,,,station,,,,,,,,10578507410,nodes
30.1628857,31.4815378,,Point,العبور,El-Obour,station,,,,,,,,9885252630,nodes
30.2209041,31.094854,,Point,,,station,,,,,,,,10576965697,nodes
30.0453923,31.244276,,Point,نجيب,Mohamed Naguib,station,,,,,,,محمد نجيب,329978615,nodes
30.0573315,31.2425378,,Point,عرابي,Orabi,station,,,,,,,عرابي,5353485467,nodes
30.5474791,31.1399548,,Point,محطة قويسنا,Mahattat Quwaysina,station,,,,,,,محطة قويسنا,1088289923,nodes
30.8733118,31.0840581,,Point,محلة روح,Mehallet Roh,station,,,,,,,محلة روح,1033287435,nodes
30.2434203,31.0740197,,Point,,,station,,,,,,,,10576965659,nodes
30.3555922,31.1971568,,Point,طوخ,Tukh,station,,,,,,,طوخ,325794384,nodes
30.4560749,31.1809685,,Point,بنها,Banha,station,,,,,,,بنها,1029624589,nodes
30.6364457,31.0802481,,Point,بركة السبع,Birket Al-Saba,station,,,,,,,بركة السبع,1092461886,nodes
30.1758481,31.3480163,,Point,,,station,,,,,,,,10578824948,nodes
30.7305486,31.1224677,,Point,محطة السنطة,El Santa,station,,,,,,,محطة السنطة,1093710418,nodes
30.7230512,31.2447861,,Point,زفتى,Zifta,station,,,,,,,زفتى,1093564915,nodes
30.6230453,31.4267011,,Point,,,station,,,,,,,,10603673210,nodes
